16666	Una prelibatezza per il tuo pet!
16667	Una prelibatezza per il tuo pet molto rara!
30341	Dragonfire Ring	An aura of intense energy surrounds you. Forged in the flames of a dragon, this ring will destroy the statues in Meley's Lair in an instant.
30620	Red Dragon Horn	Dragon horns are made of one of the hardest known materials.
30621	Red Dragon Scale	Dragon scales are among the hardest known materials.
30622	Armour Design-Helm	This item is required for crafting helmets.
50270	Queen Meley's Chest	This chest was recovered from the Dragon Queen Meley's lair. It contains a truly magnificent treasure. This item is tradeable.
50271	Dragon Watcher Chest	This chest was recovered from the Dragon Queen Meley's lair. It contains a truly magnificent treasure. This item is tradeable.
100000	Elisir del tempo (P)	Ricarica la durata di una Pietra del Drago.
100001	Elisir del tempo (M)	Ricarica la durata di una Pietra del Drago.
100002	Elisir del tempo (G)	Ricarica la durata di una Pietra del Drago.
100100	Tenaglie del Drago	È un utile attrezzo che aumenta le probabilità di successo nell'eliminazione della Pietra del Drago.
100200	Tenaglie del tempo	Risucchia la durata dalla Pietra del Drago.
100300	Chicco di drago verde	Il magico chicco aumenta il livello della tua Pietra del drago. Il rafforzamento potrebbe fallire.
100400	Chicco di drago blu	Il chicco magico aumenta la probabilità di miglioramento della Pietra del Drago di un livello.
100500	Chicco di drago rosa	La probabilità che la Pietra del drago possa essere migliorata di un livello con esito positivo aumenta del 10%.
11901	Smoking	Un elegante abito per il giorno del matrimonio.
11902	Smoking	Un elegante abito per il giorno del matrimonio.
11903	Abito da Sposa	Un abito particolare, che una donna porta il giorno del suo matrimonio.
11904	Abito da Sposa	Un abito particolare, che una donna porta il giorno del suo matrimonio.
70011	Hai strappato il cuore del malefico dio. Sei una leggenda.
50041	Auranin Ates Run.	Questo pacco contiene la tua veste aura radiante.
11971	Un premio per i Beta-Tester di Zayos
11972	Un premio per i Beta-Tester di Zayos
11973	Un premio per i Beta-Tester di Zayos
11974	Un premio per i Beta-Tester di Zayos
12690	Elmo d'acc. d. drago +0	
12691	Elmo d'acc. d. drago +1	
12692	Elmo d'acc. d. drago +2	
12693	Elmo d'acc. d. drago +3	
12694	Elmo d'acc. d. drago +4	
12695	Elmo d'acc. d. drago +5	
12696	Elmo d'acc. d. drago +6	
12697	Elmo d'acc. d. drago +7	
12698	Elmo d'acc. d. drago +8	
12699	Elmo d'acc. d. drago +9	
12700	Copricapo del drago +0	
12701	Copricapo del drago +1	
12702	Copricapo del drago +2	
12703	Copricapo del drago +3	
12704	Copricapo del drago +4	
12705	Copricapo del drago +5	
12706	Copricapo del drago +6	
12707	Copricapo del drago +7	
12708	Copricapo del drago +8	
12709	Copricapo del drago +9	
12710	Elmo corazz. d. drago +0	
12711	Elmo corazz. d. drago +1	
12712	Elmo corazz. d. drago +2	
12713	Elmo corazz. d. drago +3	
12714	Elmo corazz. d. drago +4	
12715	Elmo corazz. d. drago +5	
12716	Elmo corazz. d. drago +6	
12717	Elmo corazz. d. drago +7	
12718	Elmo corazz. d. drago +8	
12719	Elmo corazz. d. drago +9	
12720	Cappello del drago +0	
12721	Cappello del drago +1	
12722	Cappello del drago +2	
12723	Cappello del drago +3	
12724	Cappello del drago +4	
12725	Cappello del drago +5	
12726	Cappello del drago +6	
12727	Cappello del drago +7	
12728	Cappello del drago +8	
12729	Cappello del drago +9	
15440	Scarpe del fuoco +0	
15441	Scarpe del fuoco +1	
15442	Scarpe del fuoco +2	
15443	Scarpe del fuoco +3	
15444	Scarpe del fuoco +4	
15445	Scarpe del fuoco +5	
15446	Scarpe del fuoco +6	
15447	Scarpe del fuoco +7	
15448	Scarpe del fuoco +8	
15449	Scarpe del fuoco +9	
15450	Scarpe Oceano +0	
15451	Scarpe Oceano +1	
15452	Scarpe Oceano +2	
15453	Scarpe Oceano +3	
15454	Scarpe Oceano +4	
15455	Scarpe Oceano +5	
15456	Scarpe Oceano +6	
15457	Scarpe Oceano +7	
15458	Scarpe Oceano +8	
15459	Scarpe Oceano +9	
18000	Cintura in tessuto+0	
18001	Cintura in tessuto+1	
18002	Cintura in tessuto+2	
18003	Cintura in tessuto+3	
18004	Cintura in tessuto+4	
18005	Cintura in tessuto+5	
18006	Cintura in tessuto+6	
18007	Cintura in tessuto+7	
18008	Cintura in tessuto+8	
18009	Cintura in tessuto+9	
18010	Cintura in pelle+0	
18011	Cintura in pelle+1	
18012	Cintura in pelle+2	
18013	Cintura in pelle+3	
18014	Cintura in pelle+4	
18015	Cintura in pelle+5	
18016	Cintura in pelle+6	
18017	Cintura in pelle+7	
18018	Cintura in pelle+8	
18019	Cintura in pelle+9	
18020	Cintura di lusso+0	
18021	Cintura di lusso+1	
18022	Cintura di lusso+2	
18023	Cintura di lusso+3	
18024	Cintura di lusso+4	
18025	Cintura di lusso+5	
18026	Cintura di lusso+6	
18027	Cintura di lusso+7	
18028	Cintura di lusso+8	
18029	Cintura di lusso+9	
18030	Cintura della saggezza+0	
18031	Cintura della saggezza+1	
18032	Cintura della saggezza+2	
18033	Cintura della saggezza+3	
18034	Cintura della saggezza+4	
18035	Cintura della saggezza+5	
18036	Cintura della saggezza+6	
18037	Cintura della saggezza+7	
18038	Cintura della saggezza+8	
18039	Cintura della saggezza+9	
18040	Cintura regale+0	
18041	Cintura regale+1	
18042	Cintura regale+2	
18043	Cintura regale+3	
18044	Cintura regale+4	
18045	Cintura regale+5	
18046	Cintura regale+6	
18047	Cintura regale+7	
18048	Cintura regale+8	
18049	Cintura regale+9	
18050	Cintura dell'ombra+0	
18051	Cintura dell'ombra+1	
18052	Cintura dell'ombra+2	
18053	Cintura dell'ombra+3	
18054	Cintura dell'ombra+4	
18055	Cintura dell'ombra+5	
18056	Cintura dell'ombra+6	
18057	Cintura dell'ombra+7	
