TOOLTIP_AFFECT_POTION_7	Rouã Roz	SNA
SELL_PRICE_INFO	[Preþul de vânzare]
SELL_PRICE_INFO_PCS	A Pezzo: [%s]
SELL_PRICE_INFO_ALL	Tutti: [%s]
TALISMAN_WHHEL	Roata Talismanelor
PET_ADD_SLOT_QUESTION	Doriþi sã deblocaþi acest slot?	
PET_DIALOG	Nu puteþi folosi acest lucru cu nivelul actual al animalului dvs. de companie! Nivel necesar: %d.	
PET_GUI_AGE	Evolua	
PET_GUI_BONUSES	Bonus pasiv	
PET_GUI_BRAVE	Curajos	
PET_GUI_DURATION	Timp rãmas	
PET_GUI_EVOLVE_BTN	Evolua	
PET_GUI_EXPERIENCE	Experien	
PET_GUI_HERO	Eroic	
PET_GUI_PETSKILL	Aptitudini	
PET_GUI_TITLE	Informaþiile despre animalul dvs. de companie	
PET_GUI_WILD	Sãlbatic	
PET_GUI_YOUNG	Tânãr	
PET_PROTEIN_QUESTION_TEXT	Adãugaþi viaþã animalului dvs. de companie?	
PET_REMOVE_QUESTION_TEXT	Vrei sã uiþi toate abilitãþile?	
PET_REMOVE_SLOT_QUESTION	Doriþi sã ºtergeþi abilitatea (%s)?	
PET_SKIL_1	Manual Metine
PET_SKIL_10	Manual Esoterici
PET_SKIL_11	Manual Vampiri
PET_SKIL_12	Manual Demoni
PET_SKIL_13	Manual Experienþã
PET_SKIL_14	Manual Drop
PET_SKIL_15	Manual Yang
PET_SKIL_16	Human M.Manual
PET_SKIL_17	Manual Res M.Human
PET_SKIL_18	Manual Daune corporale
PET_SKIL_19	Manual Rezistenþã la daune corporale
PET_SKIL_2	Manual Monºtri
PET_SKIL_20	Manual paguba medie
PET_SKIL_21	Manual Împotriva la paguba medie
PET_SKIL_22	Manual Împotriva la loviturã criticã
PET_SKIL_23	Manual Împotriva penetrãrii
PET_SKIL_24	Manual Viteza farmecului
PET_SKIL_25	Manual Blocare
PET_SKIL_26	Manual Rezistenþã Otrãvire
PET_SKIL_27	Manual Gheaþã
PET_SKIL_28	Manual Pãmant
PET_SKIL_29	Manual Întuneric
PET_SKIL_3	Manual ªefi
PET_SKIL_4	Manual Putere
PET_SKIL_5	Manual Inteligenþã
PET_SKIL_6	Manual Dexteritate
PET_SKIL_7	Manual Vitalitate
PET_SKIL_8	Manual Animale
PET_SKIL_9	Manual Orci
TOOLTIP_AFFECT_BLEND_POTION_1	ºansã de loviturã criticã	SNA
TOOLTIP_AFFECT_BLEND_POTION_2	ªansa la loviturã pãtrunzãtoare	SNA
TOOLTIP_AFFECT_BLEND_POTION_3	Vitezã de atac	SNA
TOOLTIP_AFFECT_BLEND_POTION_4	Rezistenþã la magie	SNA
TOOLTIP_AFFECT_BLEND_POTION_5	Valoare atac	SNA
TOOLTIP_AFFECT_BLEND_POTION_6	Apãrare	SNA
TOOLTIP_AFFECT_ENERGY	Energie	SNA
BLEND_ITEM_TOOLTIP_APPLY	Efectul este activat
BLEND_ITEM_TOOLTIP_UNAPPLIED	Efectul nu a fost activat
BLEND_ITEM_TOOLTIP_NO_TIME	Timpul a expirat
INFINITE_USE	Utilizãri infinite
TOOLTIP_AFFECT_BATTLE_PASS	Battle Pass
RANKING_TITLE	Clasificare
RANKING_RANK	Poziþie
RANKING_NAME	Nume
RANKING_POINTS	Status
RANKING_CAT0	Dueluri cºtigate 
RANKING_CAT1	Dueluri pierdute
RANKING_CAT2	Uciºi in rãzboi
RANKING_CAT3	Daune medii vs player 
RANKING_CAT4	Daune cauzate de o abilitate vs player 
RANKING_CAT5	Pietre metin distruse
RANKING_CAT6	Monstrii uciºi
RANKING_CAT7	ºefi uciºi
RANKING_CAT8	Daune medii vs ºefi
RANKING_CAT9	Daune cauzate de abilitate vs ºefi
RANKING_CAT10	Yang colectat
RANKING_CAT11	Gaya acumulat
RANKING_CAT12	Vrãjeºte obiectul folosit
RANKING_CAT13	Vrãjeºte talisman folosit
RANKING_CAT14	Peºte pescuit
RANKING_CAT15	Timp în joc (min)
RANKING_CAT16	Temniþe completate
RANKING_CAT17	Cufere deschise
BIO_NO_MIX_COMPLETED	Completat
BIO_NO_MIX_RUNNING	În curs
BIO_NO_MIX_INACTIVE	Inactiv
BATTLE_PASS_PROCENT	Procent: %.1f%%
BATTLE_PASS_ALERT1	Încã nu aveþi permisul de luptã activ, aveþi nevoie de acest obiect pentru a-l activa.
BATTLE_PASS_OK	OK
BATTLE_PASS_STATUS	Stare: %s%s|h|r
BATTLE_PASS_INACTIVE	Inactiv
BATTLE_PASS_ACTIVE	În curs
BATTLE_PASS_COMPLETED	Completat
BATTLE_PASS_UNKNOWN_NAME	Nume necunoscut
BATTLE_PASS_NAME	Nume: %s
BATTLE_PASS_COUNTQUEST	Misiuni rãmase: %s
BATTLE_PASS_COUNTQUEST_COMPELTED	Misiuni completate: %s
BATTLE_PASS_REMAINING_TIME	Timp rãmas: %s
BATTLE_PASS_QUEST_COUNT	Misiuni rãmase: %d
BATTLE_PASS_QUEST_COMPLETE	Misiuni complete: %d
BATTLE_PASS_JAN20	Decembrie 2021
MINIMAP_BOSS_RESPAWN_TIME	Respawn: %d min.
WIKI_SUBCATEGORY_SUPPORT	Suport
WIKI_CATEGORY_COMPANY	Pet & Mount
WIKI_SUBCATEGORY_FASTKEY	Comenzi rapide
WIKI_SUBCATEGORY_COMEINIZ	Cum sã inceapã?
WIKI_SUBCATEGORY_RUNES	Rune
WIKI_SUBCATEGORY_D_ORCMAZE	Grota Lordului Maimuþã
WIKI_SUBCATEGORY_D_MELMA	Camera comorilor
WIKI_SUBCATEGORY_D_ARACNIDI	Camera paianjenilor
WIKI_SUBCATEGORY_D_DEVILSTOWER	Turnul Demonilor
WIKI_SUBCATEGORY_D_RUNE	Templul Zodiac
WIKI_SUBCATEGORY_D_CATACOMBE	Catacomba Diavolului
WIKI_SUBCATEGORY_D_BERAN	Temniþa Dragonului
