PET_SKIL_1	Manual Metine
PET_SKIL_10	Manual Esoterici
PET_SKIL_11	Manual Vampiri
PET_SKIL_12	Manual Demoni
PET_SKIL_13	Manual Experienþã
PET_SKIL_14	Manual Drop
PET_SKIL_15	Manual Yang
PET_SKIL_16	Manual Semi Oameni
PET_SKIL_17	Manual Rezistenþã Semi oameni
PET_SKIL_18	Human Damage Manual
PET_SKIL_19	Human Damage Manual Res.
PET_SKIL_2	Manual Monºtrii
PET_SKIL_20	Manual Medie
PET_SKIL_21	Manual Rezistenþã medie
PET_SKIL_22	Manual Anti-criticã
PET_SKIL_23	Manual Anti-penetrare
PET_SKIL_24	Manual Manual vitezã abilitãþi
PET_SKIL_25	Manual Blocare
PET_SKIL_26	Manual  Rezistenþã otrãvire
PET_SKIL_27	Manual Gheaþã
PET_SKIL_28	Manual Pãmânt
PET_SKIL_29	Manual Intuneric
PET_SKIL_3	Manual ªefi
PET_SKIL_4	Manual Putere
PET_SKIL_5	Manual Inteligenþã
PET_SKIL_6	Manual Dexteritate
PET_SKIL_7	Manual Viaþã
PET_SKIL_8	Manual Animale
PET_SKIL_9	Manual Orci
RANKING_TITLE	Clasificare
RANKING_RANK	Poziþie
RANKING_NAME	Nume
RANKING_POINTS	Statistici
RANKING_CAT0	Duelurile câºtigate
RANKING_CAT1	Duelurile pierdute
RANKING_CAT2	Crime de rãzboi
RANKING_CAT3	Daune medii vs jucãtor
RANKING_CAT4	Daune abilitãþi vs jucãtor
RANKING_CAT5	Metine distruse
RANKING_CAT6	Monºtri uciºi
RANKING_CAT7	ªefi uciºi
RANKING_CAT8	Daune medii vs ªefi
RANKING_CAT9	Daune abilitãþi vs ªefi
RANKING_CAT10	Yang Colectat
RANKING_CAT11	Gaya Colectat
RANKING_CAT12	
RANKING_CAT13	Bonusuri talisman folosite
RANKING_CAT14	Peºti prinºi
RANKING_CAT15	Timp jucat(min)
RANKING_CAT16	Dungeonuri completate
RANKING_CAT17	Cufere deschise
BATTLEPASS_MISSIONNAME	Numele misiunii
BATTLEPASS_STATUS	Status
BATTLEPASS_INFORMATIONS	Informaþii
BATTLEPASS_DESCRIPTION	Descriere
BATTLEPASS_GENERAL_INFORMATIONS	Informaþii Battlepass
BATTLEPASS_SHOP_DESC	Deschide Magazinul
BATTLEPASS_REWARD_DESC	Premiu
FISHING_RENEWAL_TITLE	Pescuit
GUARDAROBA_1	Garderoba
DOG_MODE1	Mod FPS
DOG_MODE2	Dezactivare
DOG_MODE3	Activare
SELECT_PLAYTIME	Timp Online
SELECT_NO_GUILD	Fãrã breaslã
SELECT_YES_GUILD	Breasla :
BATTLE_PASS	Battle Pass
BATTLE_PASS_MISSION_NAME	Nume misiune
BATTLE_PASS_MISSION_STATUS	Status
BATTLE_PASS_MISSION_INFO	Informaþii
BATTLE_PASS_INFO	Informaþii Battlepass
BATTLE_PASS_FINISHED	Completat la: (Necompletat)
BATTLE_PASS_DESCRIPTION	Descriere misiune
BATTLE_PASS_TOTAL_PROGRESS	Progres Total
CHANGE_LANGUAGE	Schimbã Limba
CHANGE_REPORT	Report
CHANGE_CHH	Schimbã Canal
MULTILANGUAGE_SYSTEM_TEXT	Schimbã Limba
MAILBOX_POST_ALL_DELETE_BUTTON	ªterge tot
MAILBOX_POST_ALL_RECEIVE	Selecteazã tot
MAILBOX_POST_READ_BLOCK	Blocheazã
MAILBOX_POST_READ_DELETE	ºterge
MAILBOX_POST_READ_FROM	De la
MAILBOX_POST_READ_MAIN_TITLE	Mesaj
MAILBOX_POST_READ_RECV	Primit
MAILBOX_POST_READ_TITLE	Subiect
MAILBOX_POST_SEND_TITLE	Mesaj
MAILBOX_POST_WRITE_BUTTON_TEXT	Trimite
MAILBOX_POST_WRITE_CLOSE_TEXT	Inchide
MAILBOX_POST_WRITE_CONFIRM_TEXT	Check Recipient
MAILBOX_POST_WRITE_SEND_TEXT	Trimite
MAILBOX_POST_WRITE_TITLE	Subiect
MAILBOX_POST_WRITE_TO	To
MAILBOX_TITLE	Inbox
FOV_OPTION	Modificare FOV
FOV_OPTION_TOOLTIP	Extinde FOV
FOV_RESET_OPTION_TOOLTIP	Resetare
SYSTEM_REPORT	Raporteazã
ANTI_MULTIPLE_FARM_WND_TITLE	Control Multi-Farm
ANTI_MULTIPLE_FARM_BASE_TEXT	Caractere
MOVE_ITEM_FAILURE_OFFLINE_SHOP	Nu poþi face asta
REMOTE_SHOP_TITLE	Negoþ
SOUL_STONE_TITLE	Foloseºte PDA
SOUL_STONE_BUTTON_SINGLE	Citeºte
SOUL_STONE_BUTTON_ALL	Citeºte tot
SKILL_COLOR_DEFAULT	Resetaþi culoarea la valoarea implicitã
DUNGEON_INFO_TITLE	Informaþii Dungeon
DUNGEON_INFO_PREVIEW_ZOOM_IN	Zoom In
DUNGEON_INFO_PREVIEW_ZOOM_OUT	Zoom Out
DUNGEON_RANKING_TYPE_TOOL_TIP_01	Ranking Completat
DUNGEON_RANKING_TYPE_TOOL_TIP_02	Ranking Timp
DUNGEON_RANKING_TYPE_TOOL_TIP_03	Ranking Daune
DUNGEON_INFO_ITEMS	Obiecte
DUNGEON_INFO_MY_RESULTS	Rezultatele mele
DUNGEON_INFO_GO_TO_ENTRANCE_TOOL_TIP	Intrare
DUNGEON_INFO_DROPS_TOOL_TIP	Iteme utile
DUNGEON_RANKING	Dungeon Ranking
DUNGEON_RANKING_POSITION	Poziþie
DUNGEON_RANKING_NAME	Nume
DUNGEON_RANKING_LEVEL	Nivel
DUNGEON_RANKING_POINTS	Puncte
TELEPORT_PANEL_TITLE	Fereastra de teleportare
TELEPORT_PANEL_TAB_NAME_1	Bogat
TELEPORT_PANEL_TAB_NAME_2	Neutru
TELEPORT_PANEL_TAB_NAME_3	Dungeonuri
TELEPORT_PANEL_TAB_NAME_4	Tab 4
TELEPORT_PANEL_TAB_NAME_5	Tab 5
TELEPORT_PANEL_TAB_NAME_6	Tab 6
TELEPORT_PANEL_INFO_TITLE	Descriere
TELEPORT_PANEL_INFO_BOSS	ºefi : %s
TELEPORT_PANEL_INFO_BOSS_EMPTY	Niciun ºef pe aceastã mapã
TELEPORT_PANEL_INFO_MINLV	Min. Level :
TELEPORT_PANEL_INFO_MINLV_EMPTY	Min. Level : Fãrã nivel minim
TELEPORT_PANEL_INFO_MAXLV	Max. Level :
TELEPORT_PANEL_INFO_MAXLV_EMPTY	Min. Level : Fãrã nivel maxim
TELEPORT_PANEL_INFO_COST	Cost
TELEPORT_PANEL_INFO_COST_EMPTY	Cost: Fãrã costuri
TELEPORT_PANEL_INFO_ITEM_COST_DESC	Articol necesar
TELEPORT_PANEL_INFO_ITEM_COST_TEXT	%dx %s
TELEPORT_PANEL_INFO_ITEM_COST_TEXT_EMPTY	Nu este necesar niciun articol
TELEPORT_MAP_MAP_1	Map 1 - Yongan | Joan | Pyungmoo
TELEPORT_MAP_MAP_2	Map 2 - Jayang | Bokjung | Bakra
TELEPORT_MAP_GUILDZONE	Zona breslei| Waryong | Imha
TELEPORT_MAP_SEUNGRYONG	Valea Orcilor
TELEPORT_MAP_YONGBI	Deºertul Yongbi
TELEPORT_MAP_SOHAN	Muntele Sohan
TELEPORT_MAP_DOYYUMHWAN	Þarã de foc
TELEPORT_MAP_SNAKEFIELD	Valea ºerpilor
TELEPORT_MAP_GHOSTWOOD	Pãdurea Fantomã
TELEPORT_MAP_REDWOOD	Pãdurea Roºie
TELEPORT_MAP_LAND_OF_GIANTS	Tãrâmul Giganþilor
TELEPORT_MAP_SPIDERDUNGEON_01	V1
TELEPORT_MAP_SPIDERDUNGEON_02	V2
TELEPORT_MAP_DEAMONTOWER	Turnul demonilor
TELEPORT_MAP_DEVILS_CATACOMB	Catacomba Diavolului
TELEPORT_MAP_SKIPIA_DUNGEON	Grota Exilului
TELEPORT_MAP_BLAZING_PURGATORY	Razador
TELEPORT_MAP_NEMERES_WARTE	Nemere
TELEPORT_MAP_MAP_1_DESC	Da, locul unde cântã muzica nostalgicã. În orice caz, acesta este centrul comerþului. Dacã vrei sã cumperi ceva, vei gãsi întotdeauna ceva aici! Dar în rest, nu prea se gãsesc aici dacã aparþineþi deja luptãtorilor mai puternici.
TELEPORT_MAP_MAP_2_DESC	Un domeniu important când eºti încã tânãr. Aici vei gãsi monºtri slabi care îºi oferã o experienþã bunã pânã la nivelul 30. În plus, una dintre temniþele maimuþelor se învecineazã aici.
TELEPORT_MAP_GUILDZONE_DESC	O zonã importantã pentru bresle. Construim aici! Dar nu numai atât, monºtrii pot fi gãsiþi ºi aici. Sunt agresivi ºi vor ataca singuri. Jucãtorii tineri pot avea dificultãºi aici, dar puteþi jefui articole bune aici.
TELEPORT_MAP_SEUNGRYONG_DESC	Orc Valley este locul perfect pentru a ajunge la nivelul 20 pânã la nivelul 50. În plus, Valea Orcului are una dintre cele mai populare locaþii Ferma Metin. ºeful de pe aceastã hartã este orcul ºef. Acesta este adesea cultivat în exces, aºa cã ai grijã întotdeauna la Tipul Galben!
TELEPORT_MAP_YONGBI_DESC	Aer cald, nisip în sandale. Nu vã place. Atunci mai bine evitaþi acest loc. Dar sunt multe de descoperit aici. Douã temniþe de maimuþe sunt adiacente aici, de aici se poate ajunge ºi la temniþa cu pãianjeni ºi la câmpul de ºerpi.
TELEPORT_MAP_SOHAN_DESC	E destul de frig aici, aºa cã terminã! Aici gãseºti rar legendarul Nine-Tails. Atenþie la ei! Este, de asemenea, o zonã bunã pentru a cuceri pietrele de metin. Dacã supravieþuieºti frigului, eºti un luptãtor dur.
TELEPORT_MAP_DOYYUMHWAN_DESC	Vulcani ºi magmã. Se face foarte cald aici! Monºtrii care se simt în afara acestei lumi pot fi gãsiºi aici. Nu intra aici dacã nu eºti suficient de puternic!
TELEPORT_MAP_SNAKEFIELD_DESC	ºerpi ºi uriaºi. Pff... cum a putut sã iasã asta. Mergeþi într-o zonã periculoasã ºi încercaþi sã supravieþuiþi aici. Evitã acest loc dacã nu ºtii cu adevãrat ce faci, altfel vei termina în cel mai scurt timp.
TELEPORT_MAP_GHOSTWOOD_DESC	
TELEPORT_MAP_REDWOOD_DESC	
